ID,alimento,category,latin_name,id_alim
704,"Struzzo, cotto [tessuto muscolare privato del grasso visibile, cotto in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",Carni Fresche,Struthio camelus,108901
705,Succo di frutta [albicocca e pera],Frutta,,8930
706,Suro o sugarello,Prodotti della pesca,Trachurus mediterraneus,124100
707,"Tacchino intero, con pelle crudo",Carni Fresche,Meleagris gallopavo,106700
708,"Tacchino intero, senza pelle crudo",Carni Fresche,Meleagris gallopavo,106710
709,"Tacchino intero, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",Carni Fresche,Meleagris gallopavo,106719
710,"Tacchino, coscio, con pelle crudo",Carni Fresche,Meleagris gallopavo,106800
711,"Tacchino, fesa cruda",Carni Fresche,Meleagris gallopavo,106850
712,"Tacchino, fesa, cotta [saltata in padella senza aggiunta di grassi e di sale]",Carni Fresche,Meleagris gallopavo,106856
713,"Tacchino, fuso, con pelle crudo",Carni Fresche,Meleagris gallopavo,106900
714,"Tacchino, fuso, con pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",Carni Fresche,Meleagris gallopavo,106903
715,"Tacchino, fuso, senza pelle crudo",Carni Fresche,Meleagris gallopavo,106910
716,"Tacchino, fuso, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",Carni Fresche,Meleagris gallopavo,106913
717,"Tacchino, sovracoscio, senza pelle crudo",Carni Fresche,Meleagris gallopavo,106960
718,"Tacchino, sovracoscio, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",Carni Fresche,Meleagris gallopavo,106963
719,Taleggio,Formaggi e latticini,,167600
720,Tapioca [farina ricavata dai tuberi della manioca],Cereali e Derivati,Manihot esculenta,320
721,Tarassaco o dente di leone,Verdure e Ortaggi,Taraxacum officinale,5470
722,Tartufo nero,Verdure e Ortaggi,Tuber melanosporum,6200
723,Tè (foglie),Prodotti Vari,Camellia sinensis,508100
724,Tinca,Prodotti della pesca,Tinca tinca,123400
725,"Tonno, fresco",Prodotti della pesca,Euthynnus pelamis,123500
726,"Tonno, in salamoia, sgocciolato",Prodotti della pesca,Euthynnus pelamis,123550
727,"Tonno, sott'olio",Prodotti della pesca,Euthynnus pelamis,123600
728,"Tonno, sott'olio, sgocciolato",Prodotti della pesca,Euthynnus pelamis,123610
729,"Tonno, ventresca, in salamoia, sgocciolata",Prodotti della pesca,Euthynnus pelamis,123700
730,"Topinambur, cotto [bollito in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Brassica rapa cv. rapifera,6596
731,Torrone alla mandorla,Dolci,,202800
732,Torta margherita,Dolci,,209010
733,"Tortellini, freschi",Cereali e Derivati,,880
734,"Tortellini, secchi",Cereali e Derivati,,890
735,Triglia,Prodotti della pesca,Mullus surmuletus (barbatus),123900
736,Trippa di bovino,Frattaglie,Bos taurus,115800
737,Trota,Prodotti della pesca,Salmo trutta,124000
738,"Trota iridea d'allevamento, filetti",Prodotti della pesca,Salmo trutta,124050
739,"Trota, surgelata",Prodotti della pesca,Salmo trutta,124010
740,"Trota, surgelata, cotta [in forno a microonde senza aggiunta di acqua e di sale]",Prodotti della pesca,Salmo trutta,124014
741,"Trota, surgelata, cotta [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",Prodotti della pesca,Salmo trutta,124013
742,"Uova di anatra, intero",Uova,,180010
743,"Uova di anatra, tuorlo",Uova,,180030
744,"Uova di gallina, albume",Uova,,182010
745,"Uova di gallina, intero",Uova,,181100
746,"Uova di gallina, intero, congelato",Uova,,181500
747,"Uova di gallina, intero, cotto a frittata o strapazzato",Uova,,181117
748,"Uova di gallina, intero, cotto alla coque o sodo",Uova,,181105
749,"Uova di gallina, intero, in polvere",Uova,,181600
750,"Uova di gallina, tuorlo",Uova,,183010
751,"Uova di gallina, tuorlo, congelato",Uova,,183800
752,"Uova di gallina, tuorlo, cotto in camicia",Uova,,183015
753,"Uova di gallina, tuorlo, in polvere",Uova,,183900
754,"Uova di oca, intero",Uova,,185010
755,"Uova di tacchina, intero",Uova,,189010
756,"Uova di tacchina, tuorlo",Uova,,189030
757,Uva,Frutta,Vitis vinifera,7380
758,"Uva, bianca",Frutta,Vitis vinifera,7390
759,"Uva, nera",Frutta,Vitis vinifera,7400
760,"Uva, secca",Frutta,Vitis vinifera,7410
761,"Uva, succo, in cartone",Frutta,Vitis vinifera,7420
762,"Vegetali misti, surgelati: piselli, mais, carote, fagioli",Verdure e Ortaggi,,6990
763,Vermouth dolce,Bevande Alcooliche,,406500
764,Vermouth secco,Bevande Alcooliche,,406510
765,Vino da pasto bianco,Bevande Alcooliche,,405010
766,Vino da pasto rosso,Bevande Alcooliche,,405020
767,"Vitello, filetto crudo",Carni Fresche,Bos taurus,101520
768,"Vitello, filetto, cotto [saltato in padella senza aggiunta di grassi e di sale]",Carni Fresche,Bos taurus,101521
769,"Vitello, grasso separato",Carni Fresche,Bos taurus,196600
770,Vongola,Prodotti della pesca,Amigdala decussata,127170
771,Wafer ricoperto di cioccolato,Dolci,,214500
772,Whisky,Bevande Alcooliche,,408900
773,Wurstel crudo,Carni Trasformate e Conservate,,110900
774,"Wurstel, cotto [saltato in padella senza aggiunta di grassi e di sale]",Carni Trasformate e Conservate,,110906
775,Yogurt caprino,Latte e Yogurt,,158000
776,"Yogurt da latte, intero",Latte e Yogurt,,150010
777,"Yogurt da latte, intero, alla frutta",Latte e Yogurt,,150500
778,"Yogurt da latte, parzialmente scremato",Latte e Yogurt,,151000
779,"Yogurt da latte, scremato",Latte e Yogurt,,152000
780,"Yogurt greco, da latte intero",Latte e Yogurt,,150020
781,"Zampone, confezionato precotto",Carni Trasformate e Conservate,,110950
782,"Zampone, confezionato precotto [bollito per 20' dentro la confezione e scolato dal liquido prodotto con la cottura]",Carni Trasformate e Conservate,,110955
783,Zucca gialla,Verdure e Ortaggi,Cucurbita maxima,5720
784,"Zucchero, saccarosio",Dolci,,201500
785,Zucchine crude,Verdure e Ortaggi,Cucurbita pepo,5730
786,"Zucchine, chiare crude",Verdure e Ortaggi,Cucurbita pepo,5740
787,"Zucchine, chiare, cotte [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,Cucurbita pepo,5744
788,"Zucchine, cotte [bollite in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Cucurbita pepo,5735
789,"Zucchine, scure crude",Verdure e Ortaggi,Cucurbita pepo,5750
790,"Zucchine, scure, cotte [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,Cucurbita pepo,5754
